mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
25.5732,2.96549,9.77782,-0.544239,-0.544239,0.0665989
25.6118,2.9551,9.99733,-0.492346,-0.492346,0.0577702
25.3501,2.97543,11.2529,-0.70078,-0.70078,0.0829489
24.9926,2.98584,12.2438,-0.596708,-0.596708,0.0726653
25.0636,2.98784,13.0044,-0.645178,-0.645178,0.0732695
25.4024,2.96371,10.2174,-0.586548,-0.586548,0.0643863
25.4952,2.96244,10.868,-0.612922,-0.612922,0.0643966
25.5043,2.94663,9.87271,-0.588747,-0.588747,0.0660568
25.3235,2.98938,10.1067,-0.570486,-0.570486,0.0658991
25.4153,2.96199,10.6082,-0.569361,-0.569361,0.0652815
25.3471,2.95997,11.1981,-0.605628,-0.605628,0.0668728
25.449,2.96617,12.3743,-0.695797,-0.695797,0.0720341
25.3314,2.97455,10.3968,-0.558877,-0.558877,0.0704951
25.4841,2.95912,9.05368,-0.470093,-0.470093,0.0604986
25.5466,2.95768,10.39,-0.540721,-0.540721,0.0634524
25.5734,2.95177,10.8349,-0.587868,-0.587868,0.0646811
25.6292,2.95339,11.2374,-0.586036,-0.586036,0.0659658
25.6552,2.96046,10.8306,-0.561211,-0.561211,0.0622483
25.3377,2.96996,10.1688,-0.547364,-0.547364,0.0647758
25.2794,2.96475,10.5681,-0.536155,-0.536155,0.0611429
25.7557,2.95111,10.4943,-0.591908,-0.591908,0.0722073
25.8039,2.94712,10.4421,-0.590443,-0.590443,0.0728999
25.552,2.94382,12.7941,-0.631418,-0.631418,0.071286
25.7228,2.95321,8.81804,-0.507547,-0.507547,0.0623934
25.928,2.91651,11.9453,-0.586999,-0.586999,0.0633549
25.5632,2.96221,10.4822,-0.549105,-0.549105,0.0669037
25.5296,2.96486,10.595,-0.576411,-0.576411,0.0677282
25.5237,2.96286,12.3975,-0.625013,-0.625013,0.0667152
25.6131,2.95358,10.8191,-0.590259,-0.590259,0.0672796
25.4507,2.9643,10.1714,-0.563534,-0.563534,0.0674672
25.6644,2.96104,10.2924,-0.527014,-0.527014,0.0620549
25.444,2.95836,10.84,-0.560835,-0.560835,0.0611798
25.4374,2.97201,10.5637,-0.575278,-0.575278,0.0673416
25.4315,2.96647,10.1586,-0.577866,-0.577866,0.0685598
25.353,2.96127,12.4956,-0.667598,-0.667598,0.0740208
25.3882,2.96837,13.006,-0.680074,-0.680074,0.0724034
25.3411,2.96009,12.1588,-0.715672,-0.715672,0.0804772
25.3908,2.96284,11.1459,-0.58408,-0.58408,0.0642259
25.4634,2.96006,11.5735,-0.636623,-0.636623,0.0730129
25.573,2.95351,11.9921,-0.662081,-0.662081,0.0719089
25.8768,2.9245,11.0821,-0.609767,-0.609767,0.0667204
25.0978,2.97592,10.0685,-0.562788,-0.562788,0.0697861
25.4508,2.97753,11.1147,-0.550888,-0.550888,0.0606837
25.501,2.97555,10.2445,-0.563883,-0.563883,0.0696763
25.4304,2.97414,9.57064,-0.548117,-0.548117,0.070203
25.4272,2.96821,11.3406,-0.65169,-0.65169,0.0705792
25.4575,2.96924,10.2363,-0.504387,-0.504387,0.0624895
25.5992,2.94888,9.88857,-0.533265,-0.533265,0.0661896
25.5908,2.9351,10.0743,-0.513501,-0.513501,0.0625507
25.6596,2.94204,9.93397,-0.514033,-0.514033,0.0631964
25.6594,2.96113,11.1969,-0.616855,-0.616855,0.0644337
25.4543,2.95801,11.7545,-0.639983,-0.639983,0.0730161
25.4709,2.97207,10.9976,-0.625897,-0.625897,0.0692334
25.5511,2.95431,11.2394,-0.613126,-0.613126,0.0690715
25.436,2.95543,10.7926,-0.564302,-0.564302,0.0659268
25.6,2.95181,11.9342,-0.653758,-0.653758,0.0693355
25.4019,2.96586,10.9736,-0.541055,-0.541055,0.0650706
25.3187,2.97524,9.85823,-0.556439,-0.556439,0.0668346
25.6248,2.95201,10.3961,-0.575439,-0.575439,0.0672146
25.6848,2.95472,10.2039,-0.560527,-0.560527,0.0641926
25.6035,2.95559,10.9742,-0.558229,-0.558229,0.0655875
25.4969,2.96525,9.58966,-0.519666,-0.519666,0.0623948
25.4706,2.96603,10.0526,-0.543525,-0.543525,0.0712185
25.4175,2.96516,10.0458,-0.509518,-0.509518,0.0605243
25.4264,2.97051,10.4762,-0.597614,-0.597614,0.0635561
25.5781,2.95599,10.4862,-0.505719,-0.505719,0.0600903
25.4495,2.97405,12.5072,-0.630988,-0.630988,0.067839
25.2568,2.96984,10.0883,-0.535527,-0.535527,0.067147
25.3241,2.98711,10.3586,-0.53816,-0.53816,0.061515
25.2107,2.96633,9.62965,-0.499664,-0.499664,0.0631338
25.6356,2.96863,11.1747,-0.55792,-0.55792,0.064118
25.3651,2.9546,11.1909,-0.604577,-0.604577,0.0724795
25.3731,2.98274,11.2171,-0.664875,-0.664875,0.0788621
25.8008,2.95103,10.1511,-0.494506,-0.494506,0.056531
25.3229,2.96939,10.2124,-0.552723,-0.552723,0.0614682
25.6619,2.94949,11.039,-0.589906,-0.589906,0.0686824
25.6361,2.95956,11.5812,-0.591162,-0.591162,0.0677075
25.7364,2.9704,11.128,-0.560909,-0.560909,0.0648272
25.6489,2.97086,10.7771,-0.551571,-0.551571,0.0640631
25.6104,2.94923,10.1763,-0.53606,-0.53606,0.0611189
25.3947,2.96732,10.17,-0.537048,-0.537048,0.0657469
25.4231,2.96066,10.2963,-0.583202,-0.583202,0.0691665
25.5151,2.97048,12.2384,-0.637469,-0.637469,0.0708609
25.4574,2.97195,10.7401,-0.597539,-0.597539,0.0684895
25.482,2.97261,11.1343,-0.583425,-0.583425,0.0684045
25.4252,2.96132,10.8464,-0.605225,-0.605225,0.0683371
25.4234,2.96395,12.5513,-0.707189,-0.707189,0.0712442
25.5766,2.9547,9.44997,-0.482659,-0.482659,0.0639676
25.7547,2.95013,9.26802,-0.485908,-0.485908,0.0647091
25.7047,2.9399,10.4521,-0.489062,-0.489062,0.058226
25.3004,2.9779,11.5129,-0.627784,-0.627784,0.0698052
25.4942,2.97536,10.9843,-0.607007,-0.607007,0.0683122
25.4564,2.96572,11.009,-0.581529,-0.581529,0.0702526
25.3099,2.96707,10.7877,-0.571017,-0.571017,0.0656188
25.5014,2.95993,10.0066,-0.586153,-0.586153,0.070385
25.5736,2.94872,11.3986,-0.555361,-0.555361,0.0651208
25.5904,2.94898,10.2269,-0.568136,-0.568136,0.0642472
25.5283,2.94768,10.617,-0.536138,-0.536138,0.0624997
25.6022,2.96253,10.4219,-0.574102,-0.574102,0.0631184
25.6392,2.95551,10.7869,-0.563685,-0.563685,0.0704026
25.5029,2.95603,11.1298,-0.612926,-0.612926,0.0684503
25.5377,2.94739,10.9552,-0.599464,-0.599464,0.069547
25.4875,2.97706,11.8294,-0.586608,-0.586608,0.0679499
25.6074,2.95482,11.1015,-0.595117,-0.595117,0.0673766
25.6224,2.95379,11.5833,-0.604832,-0.604832,0.0644619
25.3876,2.96712,11.0877,-0.638017,-0.638017,0.0757711
25.3637,2.96544,11.6054,-0.610445,-0.610445,0.0660857
25.5524,2.97102,11.5661,-0.655011,-0.655011,0.0721269
25.497,2.96706,11.177,-0.657621,-0.657621,0.0726662
25.5627,2.97546,10.7619,-0.521238,-0.521238,0.0636144
25.5866,2.96622,11.265,-0.577994,-0.577994,0.0659157
25.6224,2.94189,11.5683,-0.612561,-0.612561,0.0676965
25.439,2.98,11.6082,-0.592813,-0.592813,0.066117
25.4629,2.96459,11.062,-0.605546,-0.605546,0.0690189
25.495,2.96203,11.0201,-0.607072,-0.607072,0.0694372
25.3374,2.97465,10.2599,-0.575456,-0.575456,0.0663503
25.5201,2.96596,11.2983,-0.596165,-0.596165,0.0635849
25.368,2.95486,10.9336,-0.603294,-0.603294,0.0668764
25.4558,2.97075,11.4671,-0.676057,-0.676057,0.0785229
25.4552,2.95655,12.1865,-0.66351,-0.66351,0.0700453
25.4381,2.95921,11.646,-0.66074,-0.66074,0.0752693
25.5705,2.9541,9.94838,-0.535464,-0.535464,0.0633735
25.3959,2.97327,11.0006,-0.528708,-0.528708,0.0613491
25.0188,2.97624,10.4873,-0.545344,-0.545344,0.0676665
25.7585,2.93957,11.2243,-0.654372,-0.654372,0.0803213
25.6853,2.94394,11.1505,-0.577032,-0.577032,0.0702692
25.4626,2.9678,11.2373,-0.644183,-0.644183,0.0759122
25.465,2.97375,11.0454,-0.65195,-0.65195,0.0758878
25.4749,2.95426,12.3991,-0.659431,-0.659431,0.0699195
25.5705,2.97136,11.0831,-0.648576,-0.648576,0.0766519
25.4378,2.98024,10.9479,-0.57893,-0.57893,0.0640326
25.3502,2.95938,10.0459,-0.541935,-0.541935,0.062671
25.6525,2.9574,10.6742,-0.558966,-0.558966,0.0649566
25.5307,2.97371,10.2658,-0.607157,-0.607157,0.0731298
25.2458,2.97472,10.063,-0.561804,-0.561804,0.0697309
25.3841,2.98325,10.1472,-0.605675,-0.605675,0.0738343
25.3569,2.97423,10.8762,-0.61328,-0.61328,0.069866
25.3406,2.97527,11.1119,-0.575487,-0.575487,0.0646875
25.3311,2.95535,12.4874,-0.606243,-0.606243,0.0636971
