measured_from,datetime,lat,lng,precise
P1,2022-06-22 11:25:28,46.5213555555556,6.573875,on
P1,2022-06-22 11:25:48,46.5214,6.57381944444444,on
P1,2022-06-22 11:26:15,46.5214,6.57381666666667,on
P1,2022-06-22 11:26:51,46.5214,6.57381666666667,on
P1,2022-06-22 11:27:21,46.5214166666667,6.57388055555556,on
P1,2022-06-22 11:27:32,46.5214166666667,6.57388055555556,on
P1,2022-06-22 11:28:04,46.5214166666667,6.57388333333333,on
P1,2022-06-22 11:30:09,46.5214166666667,6.57388333333333,on
P1,2022-06-22 11:30:27,46.521375,6.57386944444444,on
P1,2022-06-22 11:30:43,46.5213611111111,6.57386944444444,on
P1,2022-06-22 11:31:11,46.5213583333333,6.57386666666667,on
P1,2022-06-22 11:32:34,46.5213583333333,6.57386666666667,on
P1,2022-06-22 11:33:16,46.5213972222222,6.57374166666667,on
P1,2022-06-22 11:34:06,46.5214083333333,6.57388333333333,on
P1,2022-06-22 11:35:14,46.521375,6.573825,on
P1,2022-06-22 11:35:48,46.521375,6.573825,on
P1,2022-06-22 11:36:31,46.521375,6.573825,on
P1,2022-06-22 11:37:36,46.521375,6.573825,on
P1,2022-06-22 11:37:53,46.521375,6.573825,on
P1,2022-06-22 11:38:07,46.521375,6.573825,on
P1,2022-06-22 11:38:32,46.5213861111111,6.57383611111111,on
P1,2022-06-22 11:38:47,46.5213888888889,6.57383888888889,on
P1,2022-06-22 11:39:20,46.5213888888889,6.57384166666667,on
P1,2022-06-22 13:20:09,46.5213611111111,6.57398611111111,on
P1,2022-06-22 13:21:53,46.5213361111111,6.57410555555556,on
P1,2022-06-22 13:22:56,46.5213361111111,6.57410555555556,on
P1,2022-06-22 13:24:43,46.5213305555556,6.57405277777778,on
P1,2022-06-22 13:25:59,46.5213305555556,6.57404722222222,on
P1,2022-06-22 13:27:25,46.5213305555556,6.57404722222222,on
P1,2022-06-22 13:28:07,46.5213305555556,6.57404722222222,on
P1,2022-06-22 13:29:48,46.5213777777778,6.57395555555556,on
P1,2022-06-22 13:30:42,46.5213777777778,6.57395555555556,on
P1,2022-06-22 13:32:00,46.5213805555556,6.57400833333333,on
P1,2022-06-22 13:32:55,46.5213694444444,6.57399722222222,on
P1,2022-06-22 13:34:21,46.5213611111111,6.57402222222222,on
P1,2022-06-22 13:34:40,46.5213611111111,6.574025,on
P1,2022-06-22 13:36:02,46.5213611111111,6.574025,on
P1,2022-06-22 13:38:06,46.5213611111111,6.574025,on
P1,2022-06-22 13:38:22,46.5213611111111,6.574025,on
P1,2022-06-22 13:38:53,46.5213611111111,6.574025,on
P1,2022-06-22 13:40:28,46.5213694444444,6.57397777777778,on
P1,2022-06-22 13:40:42,46.5213694444444,6.57397777777778,on
P1,2022-06-22 13:40:58,46.5213694444444,6.57397777777778,on
P1,2022-06-22 13:43:03,46.5213555555556,6.57400277777778,on
P1,2022-06-22 13:43:51,46.5214111111111,6.57396666666667,on
P1,2022-06-22 13:44:48,46.5214111111111,6.57396666666667,on
P1,2022-06-22 13:45:49,46.5214111111111,6.57396666666667,on
P1,2022-06-22 13:46:20,46.5214111111111,6.57396666666667,on
P1,2022-06-22 13:47:22,46.5214111111111,6.57396666666667,on
P1,2022-06-22 13:48:25,46.5213444444444,6.57408888888889,on
P1,2022-06-22 13:49:17,46.5213361111111,6.57410277777778,on
P1,2022-06-22 13:51:05,46.5214277777778,6.57414166666667,on
P1,2022-06-22 13:53:09,46.5214305555556,6.57414166666667,on
P1,2022-06-22 13:53:52,46.5214305555556,6.57414166666667,on
P1,2022-06-22 13:55:55,46.5213916666667,6.57401111111111,on
P1,2022-06-22 13:57:58,46.5213916666667,6.57401111111111,on
P1,2022-06-22 13:58:31,46.521375,6.57398333333333,on
P1,2022-06-22 13:58:50,46.5213666666667,6.573975,on
P1,2022-06-22 13:59:10,46.5213666666667,6.57397222222222,on
P1,2022-06-22 13:59:56,46.5213666666667,6.57397222222222,on
P1,2022-06-22 14:00:30,46.5213666666667,6.57397222222222,on
P1,2022-06-22 14:01:09,46.5213666666667,6.57397222222222,on
