mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
10.575,3.08932,4.52344,1.96428,1.96428,2.20793
10.3754,3.01353,5.20186,2.57352,2.57352,2.67148
10.2157,3.12286,4.89082,2.63706,2.63706,2.88244
11.2159,3.52728,4.15359,1.8755,1.8755,2.18392
10.3991,3.07722,5.81887,2.80204,2.80204,2.69379
10.5842,2.98926,4.50438,2.64836,2.64836,2.94803
10.2781,3.06981,4.71007,2.81595,2.81595,3.09649
10.8556,3.38223,4.26184,1.80962,1.80962,2.11545
11.0714,3.18558,5.02092,2.17724,2.17724,2.21385
10.5818,3.29961,4.76492,2.21499,2.21499,2.27222
10.9782,3.20054,3.88505,2.21469,2.21469,2.50213
10.3642,3.18364,4.43283,1.5066,1.5066,2.17455
10.1566,2.98366,5.25054,2.30793,2.30793,2.45772
10.317,2.83483,4.91015,2.56203,2.56203,2.85816
10.2519,2.93193,5.09068,2.44539,2.44539,2.41812
10.588,3.17116,6.21981,3.54375,3.54375,3.47712
11.2301,3.46405,5.98943,3.16027,3.16027,2.93652
11.1626,3.37276,5.35725,2.43015,2.43015,2.25743
10.3756,2.98441,3.94752,1.87771,1.87771,2.5848
10.5453,2.83407,4.01356,1.57425,1.57425,2.21961
10.9393,3.17407,6.11789,2.9092,2.9092,2.67963
10.3854,3.1676,3.66106,1.69741,1.69741,2.33889
10.7241,3.03987,4.40073,1.99789,1.99789,2.22957
10.5549,3.17612,4.03349,1.92303,1.92303,2.26568
10.7638,3.41889,4.04567,1.77195,1.77195,2.63189
10.6361,3.14342,5.32865,2.70455,2.70455,2.40013
10.6994,3.09445,5.24296,2.87052,2.87052,2.58078
10.7693,3.30588,3.66757,1.50967,1.50967,1.62149
10.6309,3.12108,4.13117,1.95952,1.95952,2.89013
11.0058,3.45466,5.1329,2.35106,2.35106,2.17199
10.9557,3.36344,4.79108,2.67076,2.67076,3.26728
10.944,2.8864,4.59902,1.83092,1.83092,1.94469
10.7554,2.96304,4.49877,2.1601,2.1601,2.253
10.537,3.39328,4.84146,2.31165,2.31165,2.29523
10.8701,3.04094,4.36444,2.29217,2.29217,2.65197
10.9193,3.03672,4.59465,2.27203,2.27203,2.54324
10.8278,3.11895,5.19078,2.39258,2.39258,2.5099
10.41,3.04835,4.50226,2.35263,2.35263,2.64728
10.867,3.3094,4.94024,2.4974,2.4974,2.90702
10.7986,3.23734,4.88989,2.10331,2.10331,2.18915
10.6894,3.34013,5.29152,2.43213,2.43213,2.39379
10.4481,2.93401,4.88055,2.72686,2.72686,3.05903
10.7575,3.24322,4.38616,2.03836,2.03836,2.09593
10.5845,3.24349,3.66596,1.9459,1.9459,2.15125
11.1425,3.24055,5.08161,2.13089,2.13089,2.79765
11.0934,3.3087,5.10082,2.06668,2.06668,2.67253
10.5746,3.44402,4.31032,1.83564,1.83564,2.25813
10.9773,3.30655,3.62174,1.96902,1.96902,2.46462
10.799,3.28654,5.80409,2.52049,2.52049,2.68468
10.6294,3.2337,4.16962,1.84563,1.84563,2.62237
10.8129,3.06178,3.95389,1.89284,1.89284,2.23292
10.3673,3.24448,4.96395,2.28258,2.28258,2.64971
10.8712,3.18561,4.27402,2.80208,2.80208,3.22461
10.6335,3.4456,4.34877,1.79139,1.79139,2.22013
10.7999,3.2918,3.92851,1.94344,1.94344,2.27492
10.9552,3.30585,3.77646,1.93943,1.93943,2.33392
10.6603,3.19112,4.49766,1.85187,1.85187,2.29958
10.4888,3.02722,4.3993,2.44969,2.44969,2.92183
10.7894,3.29258,4.32666,2.29503,2.29503,2.3542
10.9635,3.34241,4.64241,2.08322,2.08322,2.18064
10.8258,3.15515,5.03651,2.06626,2.06626,2.03524
10.8971,3.22622,4.69095,2.16837,2.16837,2.3998
10.4697,3.07414,5.21619,2.72912,2.72912,2.67324
10.3328,2.88967,6.45406,3.44474,3.44474,3.44979
10.4743,3.30574,4.97373,2.57471,2.57471,2.4337
10.7953,3.02356,5.45731,2.90433,2.90433,2.79574
10.3967,3.14592,4.389,1.94195,1.94195,2.19209
10.9102,3.24311,5.19776,2.25713,2.25713,2.10396
10.5653,3.1878,4.79857,2.59844,2.59844,3.43143
10.4732,3.25515,5.34355,2.74613,2.74613,3.44272
10.5113,3.13811,3.49034,1.98277,1.98277,2.21478
10.8121,3.31778,5.60154,2.32562,2.32562,2.86294
10.596,3.22336,4.5563,1.80721,1.80721,2.49873
10.6106,3.01004,3.31396,1.54151,1.54151,2.28281
10.1079,3.0338,5.39849,2.62145,2.62145,3.2927
10.2288,3.02485,4.35218,2.50303,2.50303,3.09776
10.407,3.04361,4.87706,2.27261,2.27261,2.35615
10.5409,2.98499,3.97223,2.25688,2.25688,2.71819
10.3998,2.85473,3.43896,1.60754,1.60754,2.04907
10.2907,2.92861,3.62377,1.5829,1.5829,2.03419
10.5672,3.02212,6.03343,3.1643,3.1643,3.13402
10.897,3.31247,3.82334,2.0286,2.0286,2.3642
10.7915,3.50661,4.18326,1.89123,1.89123,2.03573
10.8039,3.02075,4.52399,2.3134,2.3134,3.12461
10.4691,3.03434,5.08546,2.66736,2.66736,2.80343
10.6526,3.14276,4.42175,2.09506,2.09506,2.54301
10.3551,3.10009,4.30121,2.18008,2.18008,2.31624
10.4754,3.02028,4.00254,1.4288,1.4288,2.10312
10.9294,3.30822,5.96808,2.69169,2.69169,2.49137
10.7605,3.24279,4.94285,2.71709,2.71709,2.83221
10.8695,2.96169,4.88301,2.90642,2.90642,3.77401
10.8894,3.15682,4.69924,2.02695,2.02695,2.19226
10.6543,3.46004,4.83819,2.2028,2.2028,2.41785
10.7459,3.41021,7.66494,3.89958,3.89958,3.1767
10.7962,3.17592,3.8248,1.84214,1.84214,2.4871
10.782,3.1294,3.87628,1.85536,1.85536,2.3907
10.4582,3.18581,4.53358,2.16528,2.16528,2.55653
10.3886,3.17242,4.633,2.18622,2.18622,2.50502
10.4118,2.98447,6.19935,2.38241,2.38241,2.25563
10.6216,3.19713,5.69716,2.48519,2.48519,2.37273
10.6878,3.29829,3.6853,1.83403,1.83403,2.40302
10.9154,3.3056,6.10223,2.96327,2.96327,2.75671
10.424,3.04649,4.83739,2.47704,2.47704,2.50494
10.9077,3.41234,4.93704,2.89489,2.89489,3.12397
10.3912,2.88327,5.01053,2.15146,2.15146,2.35368
11.0277,3.34605,4.76299,2.65939,2.65939,2.7809
10.3366,3.19962,4.77697,2.65654,2.65654,2.89789
10.5979,2.96036,5.04396,2.20116,2.20116,2.25315
10.6438,3.22225,4.57338,2.63379,2.63379,3.47336
10.4267,2.96912,4.26875,1.7979,1.7979,2.16957
10.3554,2.98768,4.14935,2.18233,2.18233,2.73922
10.5815,3.05074,6.3591,3.10052,3.10052,2.94474
10.9377,3.43032,5.20696,2.8298,2.8298,3.17702
10.9282,3.34956,4.72821,1.96832,1.96832,2.23342
10.947,3.3757,3.85834,2.10126,2.10126,2.58422
10.704,3.29469,4.07217,2.12791,2.12791,2.53977
10.7575,3.0866,4.99055,2.95282,2.95282,3.10372
10.4506,3.17469,4.44263,1.62815,1.62815,2.2697
10.6376,3.00961,4.17139,2.18733,2.18733,2.44977
10.3379,3.0659,4.75525,2.18607,2.18607,2.38594
10.5975,3.16026,4.5834,2.30878,2.30878,2.63941
10.5052,3.06115,5.60822,2.99983,2.99983,2.85721
10.6052,2.98591,5.58123,2.78079,2.78079,2.63497
10.3738,2.88145,4.76824,2.82743,2.82743,3.0226
10.2545,2.86065,4.6803,2.22291,2.22291,2.6055
10.7633,3.13749,3.9628,1.99944,1.99944,2.32148
10.7918,3.48443,6.18153,3.171,3.171,3.17627
10.1508,2.9904,4.53705,1.95092,1.95092,2.17269
11.0578,3.27603,5.28256,3.08738,3.08738,3.66167
10.9184,3.22623,4.71068,2.69521,2.69521,3.34834
10.5102,2.99647,4.63802,1.78819,1.78819,1.82424
10.9219,3.31718,6.00078,2.76458,2.76458,3.0092
11.0143,3.24268,5.02949,2.66821,2.66821,3.01811
10.532,3.18981,3.96164,1.99765,1.99765,2.429
10.5836,3.14798,5.10719,2.65904,2.65904,2.76366
10.8484,3.28634,6.95716,3.2118,3.2118,2.57393
10.6108,3.15992,3.3217,1.65519,1.65519,2.63103
10.6441,3.18678,5.93827,3.32382,3.32382,2.9671
10.6386,3.14461,6.08679,2.98844,2.98844,2.88331
10.6248,3.16731,5.0469,2.78939,2.78939,2.97368
10.8862,3.22826,6.0172,3.07408,3.07408,2.88347
10.5237,3.27058,3.93395,1.8711,1.8711,2.57145
10.5632,3.33726,5.6636,2.88698,2.88698,2.64439
10.9982,3.19035,4.40987,2.20999,2.20999,2.49959
10.6284,3.26172,4.4599,2.31919,2.31919,2.64144
10.7203,2.94133,4.66106,2.12582,2.12582,2.77611
10.0588,3.00328,4.6981,2.37485,2.37485,2.52093
10.2478,3.01316,4.77959,2.35143,2.35143,2.39325
10.3889,2.81116,3.86777,1.95066,1.95066,2.21346
11.0297,3.25708,5.26846,2.54724,2.54724,2.89003
10.7667,3.34162,4.24178,2.12682,2.12682,2.10386
10.295,3.0083,5.22745,2.93578,2.93578,3.76987
10.485,2.99084,4.05422,1.75006,1.75006,1.75317
10.5806,3.16734,4.16746,2.28226,2.28226,2.69681
10.4632,3.09542,4.39952,2.16032,2.16032,2.40917
10.5532,3.22139,4.45407,2.18281,2.18281,2.48263
10.8926,3.15784,4.40528,2.02717,2.02717,2.27618
10.6633,3.32258,4.26843,1.84619,1.84619,2.03735
10.466,3.20129,5.37534,2.69005,2.69005,2.90889
10.487,3.09828,5.45463,2.65724,2.65724,2.73371
10.4531,2.98127,3.44544,1.62829,1.62829,2.16737
10.5291,3.04138,3.59331,1.65611,1.65611,2.3002
10.8798,3.24799,5.61306,2.88433,2.88433,2.67067
11.0179,3.1826,5.41451,2.80862,2.80862,2.66873
10.7058,3.28091,4.71557,2.52129,2.52129,2.98376
10.7089,3.17937,6.03515,3.33103,3.33103,3.17324
10.4267,3.05398,4.93969,2.31939,2.31939,2.2761
10.2687,2.85755,4.46382,2.36303,2.36303,2.41487
11.0422,3.4298,4.20537,2.00636,2.00636,2.58165
10.5434,3.10699,5.05824,2.53992,2.53992,2.67734
10.6763,3.1433,3.9397,2.20456,2.20456,2.74337
10.5026,3.11927,4.30877,1.73289,1.73289,1.96624
10.6208,3.10021,4.49897,2.48207,2.48207,2.97569
10.4508,3.06712,4.86912,2.10733,2.10733,2.21558
10.8499,3.39998,6.31558,2.73931,2.73931,2.64583
10.7311,2.95875,3.71329,2.14937,2.14937,2.97072
10.5223,3.38054,4.68178,1.66381,1.66381,1.95738
10.7316,3.31877,4.8702,1.9147,1.9147,2.10056
10.6803,3.06443,4.32102,2.34894,2.34894,2.6879
