mu_dist,mu_angle,sigma11,sigma21,sigma12,sigma22
0.576822,2.77639,0.0879322,0.0875437,0.0875437,2.59615
0.464929,2.94338,0.0777811,0.122959,0.122959,3.19553
0.494326,2.93575,0.0754078,0.0866576,0.0866576,3.59179
0.516357,2.66904,0.0864294,0.0429477,0.0429477,2.48368
0.491183,2.69072,0.0794088,0.0819018,0.0819018,3.01866
0.562891,3.18407,0.0752589,0.0959326,0.0959326,2.95081
0.541882,3.10275,0.073148,0.111705,0.111705,3.47087
0.546754,2.84336,0.0771408,0.154211,0.154211,2.69893
0.521914,3.00336,0.073261,0.0792749,0.0792749,3.03505
0.531564,2.88011,0.0666781,0.06227,0.06227,2.5403
0.520199,2.96141,0.0972065,0.0888366,0.0888366,3.4674
0.538311,2.83973,0.0799662,-0.0296459,-0.0296459,2.83985
0.544266,3.05055,0.0725861,0.074208,0.074208,3.21466
0.535495,2.76836,0.0918945,0.0798313,0.0798313,2.98415
0.510389,3.03531,0.0664997,0.071579,0.071579,3.08683
0.525013,3.11672,0.064548,0.0378351,0.0378351,2.66931
0.484493,3.05033,0.0540496,0.0431824,0.0431824,3.01061
0.574676,2.75846,0.115081,0.175333,0.175333,3.33512
0.585012,2.79469,0.095445,0.158552,0.158552,3.53881
0.501289,2.82635,0.0706635,0.123751,0.123751,3.30691
0.543801,2.84962,0.0905615,0.132748,0.132748,3.0694
0.52744,2.93207,0.0530827,0.0634542,0.0634542,3.26575
0.513141,2.85683,0.0922259,0.0850324,0.0850324,3.14591
0.524812,2.95454,0.0968875,0.278729,0.278729,3.75424
0.53622,3.17045,0.0895461,0.241155,0.241155,4.11655
0.561286,3.03518,0.0951789,0.205901,0.205901,3.71996
0.541728,2.74599,0.0791547,0.0555601,0.0555601,2.89976
0.522487,2.98895,0.098543,0.0488467,0.0488467,2.79006
0.514969,2.8336,0.0663278,-0.0244755,-0.0244755,3.38786
0.49822,2.86577,0.0650254,-0.0509589,-0.0509589,3.52116
0.554758,2.80972,0.100116,0.126928,0.126928,3.22413
0.492757,2.8764,0.0768828,0.112277,0.112277,2.22656
0.526264,3.02368,0.0523613,0.0610779,0.0610779,3.19001
0.542881,3.05127,0.0856557,0.102884,0.102884,2.78649
0.533579,3.2742,0.0753191,0.111778,0.111778,2.42762
0.591079,2.77738,0.0862414,0.0884154,0.0884154,2.98925
0.530454,3.37719,0.0771116,0.0483993,0.0483993,3.0221
0.531742,2.84473,0.0598686,0.160274,0.160274,3.84388
0.502929,2.90193,0.0588999,0.106976,0.106976,3.64833
0.534592,3.011,0.0761005,0.0156869,0.0156869,2.71806
0.536425,3.23594,0.0723861,0.0055231,0.0055231,2.59595
0.522848,3.03969,0.0723253,0.0180624,0.0180624,2.63536
0.528731,2.75582,0.0744379,0.13298,0.13298,3.58178
0.511559,3.01904,0.0840337,0.139879,0.139879,3.47599
0.53383,2.74142,0.0630288,0.105363,0.105363,2.95628
0.503677,3.19009,0.0762229,0.0238103,0.0238103,2.84766
0.552207,2.65892,0.0742383,0.11669,0.11669,3.0778
0.552122,2.54235,0.0817203,0.13567,0.13567,3.0021
0.496213,3.20638,0.0688749,0.0284594,0.0284594,3.19709
0.512807,2.82092,0.0787309,0.112722,0.112722,2.97145
0.505941,2.86861,0.0861133,0.0878934,0.0878934,2.50259
0.506317,2.8548,0.0684062,0.0619811,0.0619811,2.73009
0.545467,2.96585,0.0815502,0.095513,0.095513,3.34981
0.539631,3.12979,0.0839748,0.143181,0.143181,3.13297
0.487787,2.94551,0.0910827,0.167456,0.167456,3.17298
0.548064,2.80713,0.0633549,0.0132746,0.0132746,2.94433
0.511378,2.69395,0.0715982,0.0626401,0.0626401,3.08789
0.546211,3.09843,0.0722805,0.119958,0.119958,3.10622
0.53008,2.82125,0.0934921,0.152158,0.152158,2.97793
0.536989,2.8047,0.0750407,0.162156,0.162156,4.28474
0.523318,2.82197,0.0701043,0.158241,0.158241,4.00602
0.506285,2.73261,0.0756165,0.069583,0.069583,2.89136
0.56663,3.17116,0.0823434,0.151185,0.151185,3.39441
0.563455,2.93836,0.0741331,0.0848045,0.0848045,3.2792
0.535412,3.18524,0.095152,0.14023,0.14023,2.92143
0.528929,2.95459,0.0501786,0.0437821,0.0437821,3.04065
0.534642,2.96751,0.0585336,0.0522463,0.0522463,2.90516
0.555974,3.03835,0.0653488,0.153458,0.153458,2.66249
0.565797,3.03538,0.0816958,0.138951,0.138951,2.42764
0.485198,2.91751,0.0692286,0.0479845,0.0479845,3.8729
0.524345,2.63183,0.0794159,0.0328366,0.0328366,3.79134
0.544652,2.93713,0.0818893,0.110184,0.110184,3.2496
0.497247,2.76137,0.0842586,0.11838,0.11838,2.79797
0.546208,2.98304,0.0924277,-0.0104676,-0.0104676,3.6988
0.515271,2.94516,0.0626097,0.0857598,0.0857598,2.64596
0.523651,2.96298,0.0552999,0.0695341,0.0695341,2.80052
0.537791,2.8401,0.098013,-0.00155074,-0.00155074,2.6318
0.508681,3.02221,0.0563374,0.116186,0.116186,3.68894
0.524976,2.92222,0.107796,0.036378,0.036378,2.67174
0.492271,2.77259,0.0854778,0.126084,0.126084,2.52922
0.555287,3.1289,0.067123,0.0324001,0.0324001,3.60966
0.492247,2.61568,0.0828346,0.135484,0.135484,2.66386
0.541642,2.90719,0.0864805,0.139844,0.139844,3.12175
0.489944,2.65091,0.130115,0.256746,0.256746,3.62865
0.543119,2.99917,0.0478475,0.00518866,0.00518866,3.14254
0.521734,2.81158,0.110146,0.224691,0.224691,2.728
0.531053,3.07994,0.0491118,0.0187339,0.0187339,3.69433
0.494223,2.99503,0.120132,0.189561,0.189561,3.07256
0.551088,2.76303,0.049005,0.0246049,0.0246049,3.16823
0.484289,2.95881,0.116495,0.178907,0.178907,3.00556
0.534515,2.95879,0.102153,0.175972,0.175972,3.30617
0.522398,2.88103,0.0567811,0.0322284,0.0322284,2.77277
0.531959,2.5876,0.076253,0.00707837,0.00707837,2.40201
0.52728,3.34715,0.0715294,0.135302,0.135302,4.09099
0.519132,3.04479,0.0743184,0.126382,0.126382,2.81767
0.523086,3.11827,0.0764836,0.121506,0.121506,2.61997
0.538041,3.07102,0.0797759,0.085931,0.085931,2.89872
0.520921,3.00855,0.05753,0.119403,0.119403,2.5836
0.506423,3.0772,0.0653981,0.0995804,0.0995804,2.82174
0.525123,3.12177,0.0656904,0.145123,0.145123,2.93004
0.533236,2.6822,0.0827143,-0.0169881,-0.0169881,3.34784
0.539193,3.11922,0.0712045,0.165273,0.165273,3.18931
0.53287,3.09855,0.0697241,0.160666,0.160666,3.6831
0.529574,3.05782,0.0760393,0.143711,0.143711,3.55029
0.529574,3.05782,0.0760393,0.143711,0.143711,3.55029
0.54188,2.68609,0.0676501,0.114733,0.114733,2.27707
0.541294,2.78393,0.0748854,0.150582,0.150582,2.67609
0.501995,3.14412,0.0746605,0.119356,0.119356,2.91268
0.507607,3.1232,0.0602203,0.158676,0.158676,3.51145
0.53025,2.36403,0.09206,0.0521775,0.0521775,2.8701
0.510219,2.8469,0.0800227,0.066097,0.066097,3.48303
0.521938,2.68987,0.0804989,0.0754276,0.0754276,2.94376
0.548982,3.10538,0.0639289,0.101558,0.101558,2.83196
0.550109,2.8138,0.0576796,0.0635264,0.0635264,2.53123
0.546789,2.70162,0.0768951,0.102492,0.102492,3.81957
0.491313,2.72713,0.071127,0.165716,0.165716,3.31322
0.495999,2.90184,0.0810544,0.13655,0.13655,3.42578
0.5223,2.77627,0.0881422,0.0874424,0.0874424,2.35204
0.493993,2.75488,0.095185,0.112039,0.112039,2.48878
0.495966,3.12514,0.0827535,0.123065,0.123065,3.51509
0.568087,2.66771,0.0691665,0.0393804,0.0393804,2.5183
0.505958,3.09444,0.0903471,0.112275,0.112275,3.66791
0.529686,2.79404,0.0683142,0.0695081,0.0695081,2.68615
0.520079,2.94774,0.077791,0.0803749,0.0803749,3.46707
0.497504,2.87069,0.0769585,0.131138,0.131138,3.10674
0.532986,2.83754,0.0845639,0.147072,0.147072,3.26379
0.531695,3.03869,0.0656884,0.0384888,0.0384888,2.73596
0.515398,2.7449,0.0908329,0.155229,0.155229,3.40529
0.536204,3.07524,0.0787428,0.0895592,0.0895592,3.31046
0.502035,2.76383,0.0731412,0.173425,0.173425,3.29926
0.515956,2.88334,0.0663929,0.000664779,0.000664779,2.8455
0.512503,3.14473,0.112642,0.0440916,0.0440916,3.27624
0.530147,2.99462,0.0836753,0.0544832,0.0544832,3.84219
0.529808,2.81282,0.069414,0.0920532,0.0920532,3.15765
0.480291,2.69542,0.0705264,0.0693166,0.0693166,2.27183
0.536834,3.03557,0.078856,0.10918,0.10918,3.071
0.522698,2.9559,0.0540326,0.0920761,0.0920761,3.70902
0.55757,3.0857,0.0780216,0.127844,0.127844,3.96654
0.50158,2.72043,0.0729502,0.0544849,0.0544849,2.40049
0.530275,3.0175,0.0810282,0.133443,0.133443,3.72143
0.537317,2.9242,0.0657558,0.110667,0.110667,3.97031
0.524972,3.04845,0.0734585,0.0687247,0.0687247,3.6948
0.564211,2.60636,0.064918,-0.00761174,-0.00761174,3.60189
0.588294,2.39445,0.0762479,0.0497126,0.0497126,3.9225
0.542614,2.51525,0.0756666,0.059625,0.059625,3.84656
0.534018,2.61688,0.0675768,0.0700402,0.0700402,3.24001
0.501368,3.27085,0.0856554,0.0428442,0.0428442,2.94696
0.484899,3.08528,0.0763044,0.0987069,0.0987069,3.65239
0.542392,2.61961,0.0726743,0.117935,0.117935,3.21364
0.509771,3.2023,0.0741169,0.0377684,0.0377684,3.02554
0.552736,2.74511,0.0728417,0.115209,0.115209,3.11288
0.507387,3.15005,0.074946,0.0478188,0.0478188,3.05679
0.559518,2.84863,0.0758029,0.147042,0.147042,3.49438
0.520612,3.01029,0.0736504,0.0557784,0.0557784,3.04051
0.517291,2.87944,0.0754757,0.111407,0.111407,2.99731
0.512632,2.8465,0.0724193,0.122232,0.122232,3.17075
0.549032,3.05076,0.0746603,0.0285655,0.0285655,3.0735
0.507386,2.81616,0.0729963,0.125304,0.125304,2.88608
0.569458,3.11201,0.0816958,0.0373353,0.0373353,3.35981
0.561906,2.95998,0.0867843,0.0650148,0.0650148,3.22014
0.532436,2.7283,0.101836,0.0745883,0.0745883,2.93433
0.510058,2.90969,0.0538125,0.0780911,0.0780911,3.42156
0.561548,2.94193,0.0848352,0.0690987,0.0690987,3.2359
0.474301,3.17486,0.0617694,0.00640928,0.00640928,3.05251
0.527553,2.7526,0.101439,0.143903,0.143903,3.65037
0.504246,2.91332,0.0746548,0.11717,0.11717,3.17688
0.566959,3.39365,0.0870614,0.0752887,0.0752887,3.46209
0.48844,2.39509,0.0638813,0.0616883,0.0616883,2.92803
0.52001,2.61832,0.0717728,0.107138,0.107138,4.12114
0.561113,2.78714,0.0579327,-0.00112448,-0.00112448,3.01852
0.47819,3.00285,0.100675,0.20286,0.20286,3.34725
0.565886,3.11814,0.0942731,0.0756906,0.0756906,3.61508
0.494508,2.69956,0.0564856,0.0988584,0.0988584,2.60254
0.52014,3.11518,0.0847757,0.0827825,0.0827825,3.26421
0.495553,2.92645,0.0632364,0.0145785,0.0145785,2.64911
0.56888,3.14914,0.088037,0.126807,0.126807,4.6404
