log_likelihood_ratio,likelihood_ratio,prob_A
933.884,inf,
3835.84,inf,
952.335,inf,
130.345,2.46603e-57,
7924.36,inf,
31597.9,inf,
7451.3,inf,
7932.93,inf,
3288.58,inf,
157.594,2.76702e+68,
2025.6,inf,
1952.71,inf,
714.954,3.1596e-311,
791.656,0.0,
4628.37,0.0,
6258.47,0.0,
3059.8,0.0,
1243.14,inf,
5909.01,0.0,
5207.89,inf,
6370.8,inf,
10289.2,0.0,
5238.08,inf,
1014.22,0.0,
3475.14,0.0,
105.783,1.14615e-46,
19493.0,inf,
464.757,6.93948e+201,
3902.9,0.0,
165.665,1.12923e-72,
3770.59,inf,
9789.47,inf,
1321.03,0.0,
2505.32,inf,
2808.3,inf,
7134.75,inf,1.0
5820.06,inf,1.0
7794.97,inf,
5256.85,inf,
6592.72,inf,
11772.0,inf,1.0
5560.42,inf,
7692.88,0.0,
2333.04,0.0,
4835.46,inf,
2106.46,0.0,
2739.36,inf,
4434.7,inf,
589.619,8.54581e-257,
7543.39,inf,
8008.36,inf,
4136.51,0.0,
8610.21,inf,
748.422,inf,
2123.46,inf,
1346.3,inf,
83.0578,8.48122e-37,
8871.53,inf,
13622.8,inf,
1377.79,inf,
11426.0,inf,
9235.81,inf,
3154.65,inf,
2345.5,inf,
58.676,3.29111e-26,
5470.37,0.0,
817.865,0.0,
1377.78,0.0,
5191.1,0.0,
4542.88,inf,
576.296,1.91435e+250,
1357.16,0.0,
236.537,5.32902e+102,
6631.16,0.0,
744.108,inf,
4597.27,0.0,
2260.79,0.0,
156.534,1.04264e-68,
10694.6,inf,1.0
772.046,inf,
15442.3,inf,
525.022,1.03292e+228,
4206.51,inf,
10414.8,inf,
2987.79,inf,
310.063,4.55564e+134,
2113.83,0.0,
805.503,0.0,
286.197,5.08363e-125,
774.533,0.0,
2777.22,inf,
6661.09,inf,
316.529,3.41379e-138,
4738.62,0.0,
3959.35,0.0,
553.718,3.33806e-241,
5711.58,0.0,
5470.54,0.0,
1188.83,0.0,
1154.87,inf,
2658.89,0.0,
1359.39,0.0,
7768.09,inf,
3166.9,0.0,
603.346,1.07074e+262,
2113.21,0.0,
6398.99,inf,
8613.45,inf,
6587.46,inf,
2692.12,inf,
12203.5,inf,
1334.52,0.0,
2606.68,0.0,
2103.64,inf,
7948.45,0.0,
287.921,1.1033e+125,
14282.7,inf,
1932.45,inf,1.0
15612.4,inf,
7978.46,inf,
9628.85,inf,
4439.47,inf,
6780.85,inf,
1202.75,inf,
3963.05,0.0,
1961.3,0.0,
1461.17,inf,
10493.6,inf,
5470.7,inf,
1945.64,inf,
1784.71,0.0,
2653.48,inf,
1991.97,inf,
551.233,4.00303e-240,
3410.28,0.0,
2952.87,0.0,
2841.32,inf,
6585.46,inf,
3038.8,0.0,
187.905,4.03638e+81,
5712.45,0.0,
1806.32,0.0,
1553.36,inf,
7338.17,inf,
1213.86,inf,
19414.2,inf,
10087.2,inf,
3953.03,0.0,
129.956,3.63743e-57,
17338.8,inf,
1179.41,inf,
1119.91,0.0,
2551.9,inf,
5097.99,0.0,
4446.36,0.0,
3608.7,0.0,
5574.08,0.0,
1234.94,0.0,
2013.44,0.0,
6582.41,inf,
4705.85,inf,
4426.23,inf,
2803.15,inf,
354.28,1.37423e-154,
1744.86,0.0,0.0
839.532,0.0,
2016.28,inf,
4320.28,0.0,
4707.44,0.0,
694.04,3.82116e-302,
2452.21,0.0,
2227.98,inf,
5757.44,inf,
21409.1,inf,
1488.92,0.0,
2339.9,0.0,
3909.89,0.0,0.0
2664.23,0.0,0.0
2568.7,0.0,0.0
804.828,0.0,
1976.97,0.0,0.0
5145.85,0.0,
2652.05,0.0,
4418.84,inf,
6075.03,inf,
4739.22,inf,
3350.41,0.0,
2978.21,0.0,
1180.07,0.0,
3567.53,0.0,
4028.44,0.0,
2113.65,0.0,
6462.26,inf,
4795.32,inf,1.0
21216.9,inf,
1071.29,inf,
235.543,1.97219e+102,
1290.42,inf,
10638.7,0.0,
4494.06,0.0,
4202.84,inf,
573.842,1.64548e+249,
2977.46,inf,
4871.6,inf,
1035.09,inf,
6832.23,inf,
7214.85,inf,
6296.87,inf,
4384.58,inf,
6761.0,inf,
1896.94,0.0,
5178.14,inf,
1697.18,inf,
113.146,1.37644e+49,
8335.21,inf,
298.845,6.1218e+129,
6569.81,inf,
1156.36,0.0,
4060.7,0.0,
3684.93,0.0,
4040.71,inf,
8874.15,inf,
3304.79,inf,
1051.49,inf,
962.141,0.0,
4696.56,inf,
1800.64,inf,
72.0166,1.8897e+31,
7482.13,inf,
448.637,6.9273e+194,
9347.06,inf,
7434.89,0.0,
8893.35,inf,
4522.98,inf,
7922.65,0.0,
1710.85,inf,
7575.25,inf,
2755.89,inf,
5220.32,inf,
8406.73,inf,
7600.37,inf,
449.31,1.35718e+195,
184.988,4.57655e-81,
7015.41,0.0,
5371.13,0.0,
5517.92,inf,
3181.33,inf,
805.368,0.0,
5315.57,0.0,
265.724,3.95828e-116,
